"prov","signif_week"
"Ilocos Sur","2016-19"
"Ilocos Sur","2016-20"
"Ilocos Sur","2016-21"
"Ilocos Sur","2016-22"
"Ilocos Sur","2016-23"
"Ilocos Sur","2016-24"
"Ilocos Sur","2016-25"
"Ilocos Sur","2016-26"
"Ilocos Sur","2016-27"
"Ilocos Sur","2016-28"
"Ilocos Sur","2016-29"
"Ilocos Sur","2016-30"
"Ilocos Sur","2016-31"
"Ilocos Sur","2016-32"
"Ilocos Sur","2016-33"
"Ilocos Sur","2016-34"
"Ilocos Sur","2016-35"
"Ilocos Sur","2016-36"
"Ilocos Sur","2016-37"
"Ilocos Sur","2016-38"
"Ilocos Sur","2016-39"
"Ilocos Sur","2016-40"
"Ilocos Sur","2016-41"
"Ilocos Sur","2016-42"
"Ilocos Sur","2016-43"
"Ilocos Sur","2016-44"
"Ilocos Sur","2016-45"
"Ilocos Sur","2016-46"
"Ilocos Sur","2016-47"
"Ilocos Sur","2016-48"
"Ilocos Sur","2016-49"
"La Union","2016-19"
"La Union","2016-20"
"La Union","2016-21"
"La Union","2016-22"
"La Union","2016-23"
"La Union","2016-24"
"La Union","2016-25"
"La Union","2016-26"
"La Union","2016-27"
"La Union","2016-28"
"La Union","2016-29"
"La Union","2016-30"
"La Union","2016-31"
"La Union","2016-32"
"La Union","2016-33"
"La Union","2016-34"
"La Union","2016-35"
"La Union","2016-36"
"La Union","2016-37"
"La Union","2016-38"
"La Union","2016-39"
"La Union","2016-40"
"La Union","2016-41"
"La Union","2016-42"
"La Union","2016-43"
"La Union","2016-44"
"La Union","2016-45"
"La Union","2016-46"
"La Union","2016-47"
"La Union","2016-48"
"La Union","2016-49"
"La Union","2016-50"
"La Union","2016-51"
"La Union","2016-52"
"Pangasinan","2016-19"
"Pangasinan","2016-20"
"Pangasinan","2016-21"
"Pangasinan","2016-22"
"Pangasinan","2016-23"
"Pangasinan","2016-24"
"Pangasinan","2016-25"
"Pangasinan","2016-26"
"Pangasinan","2016-27"
"Pangasinan","2016-28"
"Pangasinan","2016-29"
"Pangasinan","2016-30"
"Pangasinan","2016-31"
"Pangasinan","2016-32"
"Pangasinan","2016-33"
"Pangasinan","2016-34"
"Pangasinan","2016-35"
"Pangasinan","2016-36"
"Pangasinan","2016-37"
"Pangasinan","2016-38"
"Pangasinan","2016-39"
"Pangasinan","2016-40"
"Pangasinan","2016-41"
"Pangasinan","2016-42"
"Pangasinan","2016-43"
"Pangasinan","2016-44"
"Pangasinan","2016-45"
"Pangasinan","2016-46"
"Pangasinan","2016-47"
"Cagayan","2016-19"
"Cagayan","2016-20"
"Cagayan","2016-21"
"Cagayan","2016-22"
"Cagayan","2016-23"
"Cagayan","2016-24"
"Cagayan","2016-25"
"Cagayan","2016-26"
"Cagayan","2016-27"
"Cagayan","2016-28"
"Cagayan","2016-29"
"Cagayan","2016-30"
"Cagayan","2016-31"
"Cagayan","2016-32"
"Cagayan","2016-33"
"Cagayan","2016-34"
"Cagayan","2016-35"
"Cagayan","2016-36"
"Cagayan","2016-37"
"Cagayan","2016-38"
"Cagayan","2016-39"
"Cagayan","2016-40"
"Cagayan","2016-41"
"Cagayan","2016-42"
"Cagayan","2016-43"
"Cagayan","2017-25"
"Cagayan","2017-26"
"Cagayan","2017-27"
"Cagayan","2017-28"
"Cagayan","2017-29"
"Cagayan","2017-30"
"Cagayan","2017-31"
"Cagayan","2017-32"
"Cagayan","2017-33"
"Cagayan","2017-34"
"Cagayan","2017-35"
"Cagayan","2017-36"
"Cagayan","2017-37"
"Cagayan","2017-38"
"Cagayan","2017-39"
"Cagayan","2017-40"
"Cagayan","2017-41"
"Cagayan","2017-42"
"Isabela","2016-19"
"Isabela","2016-20"
"Isabela","2016-21"
"Isabela","2016-22"
"Isabela","2016-23"
"Isabela","2016-24"
"Isabela","2016-25"
"Isabela","2016-26"
"Isabela","2016-27"
"Isabela","2016-28"
"Isabela","2016-29"
"Isabela","2016-30"
"Isabela","2016-31"
"Isabela","2016-32"
"Isabela","2016-33"
"Isabela","2016-34"
"Isabela","2016-35"
"Isabela","2016-36"
"Isabela","2016-37"
"Isabela","2016-38"
"Isabela","2016-39"
"Isabela","2016-40"
"Isabela","2016-41"
"Isabela","2016-42"
"Isabela","2016-43"
"Isabela","2017-14"
"Isabela","2017-15"
"Isabela","2017-16"
"Isabela","2017-17"
"Isabela","2017-18"
"Isabela","2017-19"
"Isabela","2017-20"
"Isabela","2017-21"
"Isabela","2017-22"
"Isabela","2017-23"
"Isabela","2017-24"
"Isabela","2017-25"
"Isabela","2017-26"
"Isabela","2017-27"
"Isabela","2017-28"
"Isabela","2017-29"
"Isabela","2017-30"
"Isabela","2017-31"
"Isabela","2017-32"
"Isabela","2017-33"
"Isabela","2017-34"
"Isabela","2017-35"
"Isabela","2017-36"
"Bataan","2016-22"
"Bataan","2016-23"
"Bataan","2016-24"
"Bataan","2016-25"
"Bataan","2016-26"
"Bataan","2016-27"
"Bataan","2016-28"
"Bataan","2016-29"
"Bataan","2016-30"
