"prov","type","signif_week"
"Ilocos Norte","Pneumonia","2016-26"
"Ilocos Norte","Pneumonia","2016-30"
"Ilocos Norte","Pneumonia","2017-39"
"Ilocos Norte","Pneumonia","2018-03"
"Ilocos Sur","Pneumonia","2016-36"
"Ilocos Sur","Pneumonia","2016-37"
"Ilocos Sur","Pneumonia","2016-38"
"Ilocos Sur","Pneumonia","2016-39"
"Ilocos Sur","Pneumonia","2016-40"
"Ilocos Sur","Pneumonia","2016-41"
"Ilocos Sur","Pneumonia","2016-42"
"Ilocos Sur","Pneumonia","2016-43"
"Ilocos Sur","Pneumonia","2016-44"
"Ilocos Sur","Pneumonia","2016-45"
"Pangasinan","Pneumonia","2016-34"
"Pangasinan","Pneumonia","2016-35"
"Pangasinan","Pneumonia","2016-36"
"Pangasinan","Pneumonia","2016-37"
"Pangasinan","Pneumonia","2016-38"
"Pangasinan","Pneumonia","2016-39"
"Pangasinan","Pneumonia","2016-40"
"Pangasinan","Pneumonia","2016-41"
"Pangasinan","Pneumonia","2016-42"
"Pangasinan","Pneumonia","2016-43"
"Pangasinan","Pneumonia","2016-44"
"Pangasinan","Pneumonia","2016-45"
"Pangasinan","Pneumonia","2016-46"
"Pangasinan","Pneumonia","2016-47"
"Isabela","Pneumonia","2016-37"
"Isabela","Pneumonia","2016-38"
"Isabela","Pneumonia","2016-39"
"Isabela","Pneumonia","2016-40"
"Isabela","Pneumonia","2016-41"
"Isabela","Pneumonia","2016-42"
"Isabela","Pneumonia","2016-43"
"Bataan","Pneumonia","2016-22"
"Bataan","Pneumonia","2016-23"
"Bataan","Pneumonia","2016-24"
"Bataan","Pneumonia","2016-25"
"Bataan","Pneumonia","2016-26"
"Bataan","Pneumonia","2016-27"
"Bataan","Pneumonia","2016-28"
"Bataan","Pneumonia","2016-29"
"Bataan","Pneumonia","2016-30"
"Bataan","Pneumonia","2016-31"
"Bataan","Pneumonia","2016-32"
"Bataan","Pneumonia","2016-33"
"Bataan","Pneumonia","2016-34"
"Bulacan","Pneumonia","2016-36"
"Bulacan","Pneumonia","2016-37"
"Bulacan","Pneumonia","2016-38"
"Bulacan","Pneumonia","2016-39"
"Bulacan","Pneumonia","2016-40"
"Bulacan","Pneumonia","2016-41"
"Bulacan","Pneumonia","2016-42"
"Bulacan","Pneumonia","2016-43"
"Bulacan","Pneumonia","2016-44"
"Bulacan","Pneumonia","2016-45"
"Bulacan","Pneumonia","2016-46"
"Bulacan","Pneumonia","2016-47"
"Bulacan","Pneumonia","2016-48"
"Bulacan","Pneumonia","2016-49"
"Bulacan","Pneumonia","2016-50"
"Bulacan","Pneumonia","2016-51"
"Bulacan","Pneumonia","2017-22"
"Bulacan","Pneumonia","2017-23"
"Bulacan","Pneumonia","2017-24"
"Bulacan","Pneumonia","2018-44"
"Bulacan","Pneumonia","2018-45"
"Bulacan","Pneumonia","2018-46"
"Bulacan","Pneumonia","2018-47"
"Bulacan","Pneumonia","2018-48"
"Bulacan","Pneumonia","2018-49"
"Bulacan","Pneumonia","2018-50"
"Bulacan","Pneumonia","2018-51"
"Bulacan","Pneumonia","2018-52"
"Bulacan","Pneumonia","2019-01"
"Bulacan","Pneumonia","2019-02"
"Bulacan","Pneumonia","2019-03"
"Bulacan","Pneumonia","2019-04"
"Bulacan","Pneumonia","2019-05"
"Bulacan","Pneumonia","2019-06"
"Bulacan","Pneumonia","2019-07"
"Bulacan","Pneumonia","2019-08"
"Bulacan","Pneumonia","2019-09"
"Bulacan","Pneumonia","2019-10"
"Nueva Ecija","Pneumonia","2016-35"
"Nueva Ecija","Pneumonia","2016-36"
"Nueva Ecija","Pneumonia","2016-37"
"Nueva Ecija","Pneumonia","2019-02"
"Nueva Ecija","Pneumonia","2019-03"
"Nueva Ecija","Pneumonia","2019-04"
"Nueva Ecija","Pneumonia","2019-05"
"Nueva Ecija","Pneumonia","2019-06"
"Nueva Ecija","Pneumonia","2019-07"
"Nueva Ecija","Pneumonia","2019-08"
"Nueva Ecija","Pneumonia","2019-09"
"Nueva Ecija","Pneumonia","2019-10"
"Nueva Ecija","Pneumonia","2019-11"
"Nueva Ecija","Pneumonia","2019-12"
"Nueva Ecija","Pneumonia","2019-13"
"Nueva Ecija","Pneumonia","2019-14"
"Nueva Ecija","Pneumonia","2019-15"
"Nueva Ecija","Pneumonia","2019-16"
"Nueva Ecija","Pneumonia","2019-27"
"Nueva Ecija","Pneumonia","2019-28"
"Nueva Ecija","Pneumonia","2019-29"
"Nueva Ecija","Pneumonia","2019-30"
"Nueva Ecija","Pneumonia","2019-31"
"Nueva Ecija","Pneumonia","2019-32"
"Nueva Ecija","Pneumonia","2019-33"
"Nueva Ecija","Pneumonia","2019-34"
"Nueva Ecija","Pneumonia","2019-35"
"Nueva Ecija","Pneumonia","2019-36"
"Nueva Ecija","Pneumonia","2019-37"
"Nueva Ecija","Pneumonia","2019-38"
"Nueva Ecija","Pneumonia","2019-39"
"Tarlac","Pneumonia","2016-34"
"Tarlac","Pneumonia","2016-35"
"Tarlac","Pneumonia","2016-36"
"Tarlac","Pneumonia","2016-37"
"Tarlac","Pneumonia","2016-38"
"Tarlac","Pneumonia","2016-39"
"Tarlac","Pneumonia","2016-40"
"Tarlac","Pneumonia","2016-41"
"Tarlac","Pneumonia","2016-42"
"Tarlac","Pneumonia","2016-43"
"Tarlac","Pneumonia","2016-44"
"Tarlac","Pneumonia","2016-45"
"Tarlac","Pneumonia","2016-46"
"Tarlac","Pneumonia","2016-47"
"Tarlac","Pneumonia","2016-48"
"Tarlac","Pneumonia","2016-49"
"Tarlac","Pneumonia","2016-50"
"Tarlac","Pneumonia","2017-24"
"Tarlac","Pneumonia","2018-32"
"Tarlac","Pneumonia","2018-33"
"Tarlac","Pneumonia","2018-34"
"Tarlac","Pneumonia","2018-35"
"Tarlac","Pneumonia","2018-36"
"Tarlac","Pneumonia","2018-37"
"Tarlac","Pneumonia","2018-38"
"Tarlac","Pneumonia","2018-39"
"Tarlac","Pneumonia","2018-40"
"Tarlac","Pneumonia","2018-41"
"Tarlac","Pneumonia","2018-42"
"Tarlac","Pneumonia","2018-50"
"Tarlac","Pneumonia","2018-51"
"Tarlac","Pneumonia","2018-52"
"Tarlac","Pneumonia","2019-01"
"Tarlac","Pneumonia","2019-02"
"Tarlac","Pneumonia","2019-03"
"Tarlac","Pneumonia","2019-04"
"Tarlac","Pneumonia","2019-05"
"Tarlac","Pneumonia","2019-06"
"Tarlac","Pneumonia","2019-07"
"Tarlac","Pneumonia","2019-08"
"Tarlac","Pneumonia","2019-09"
"Tarlac","Pneumonia","2019-10"
"Tarlac","Pneumonia","2019-11"
"Tarlac","Pneumonia","2019-12"
"Tarlac","Pneumonia","2019-13"
"Tarlac","Pneumonia","2019-14"
"Tarlac","Pneumonia","2019-15"
"Tarlac","Pneumonia","2019-16"
"Tarlac","Pneumonia","2019-17"
"Tarlac","Pneumonia","2019-18"
"Batangas","Pneumonia","2016-27"
"Batangas","Pneumonia","2016-28"
"Batangas","Pneumonia","2016-29"
"Batangas","Pneumonia","2016-30"
"Batangas","Pneumonia","2016-31"
"Batangas","Pneumonia","2016-32"
"Batangas","Pneumonia","2016-33"
"Batangas","Pneumonia","2016-34"
"Batangas","Pneumonia","2016-35"
"Batangas","Pneumonia","2016-36"
"Batangas","Pneumonia","2016-37"
"Batangas","Pneumonia","2016-38"
"Batangas","Pneumonia","2016-39"
"Batangas","Pneumonia","2016-40"
"Batangas","Pneumonia","2016-41"
"Batangas","Pneumonia","2016-42"
"Batangas","Pneumonia","2016-43"
"Batangas","Pneumonia","2016-44"
"Batangas","Pneumonia","2016-45"
"Batangas","Pneumonia","2016-46"
"Batangas","Pneumonia","2016-47"
"Batangas","Pneumonia","2016-48"
"Batangas","Pneumonia","2016-49"
"Batangas","Pneumonia","2016-50"
"Cavite","Pneumonia","2016-36"
"Cavite","Pneumonia","2016-37"
"Cavite","Pneumonia","2016-38"
"Cavite","Pneumonia","2016-39"
"Cavite","Pneumonia","2016-40"
"Cavite","Pneumonia","2016-41"
"Cavite","Pneumonia","2016-42"
"Cavite","Pneumonia","2016-43"
