"type","prov","dwar","week","rr","lci","uci","deaths","attr","attr_low","attr_hi"
"Firearms","Ilocos Norte","2016-18",1,1,1,1,NA,NA,NA,NA
"Firearms","Ilocos Norte","2016-19",2,1.05288676531957,0.934992467685916,1.18564649331217,0,0,0,0
"Firearms","Ilocos Norte","2016-20",3,1.10113179531288,0.880073259127664,1.37771625040715,0,0,0,0
"Firearms","Ilocos Norte","2016-21",4,1.14386009493524,0.833865567819422,1.56909694713358,0,0,0,0
"Firearms","Ilocos Norte","2016-22",5,1.18027303530426,0.795232078623115,1.75174578002222,0,0,0,0
"Firearms","Ilocos Norte","2016-23",6,1.20967312179773,0.763226211291506,1.91726782957794,2,0.346660792935742,-0.535903147149895,0.963045325503678
"Firearms","Ilocos Norte","2016-24",7,1.23148619137557,0.737049902119618,2.05760591676,2,0.375946060941208,-0.621951738176289,1.0352079022342
"Firearms","Ilocos Norte","2016-25",8,1.24528005332121,0.716014626540559,2.16576918085042,0,0,0,0
"Firearms","Ilocos Norte","2016-26",9,1.25077872830221,0.69950190450001,2.23651632269899,3,0.601494227462477,-1.16061865551521,1.67449277752236
"Firearms","Ilocos Norte","2016-27",10,1.24787163048899,0.686918392505637,2.26691208616381,1,0.198635520219222,-0.413057733128143,0.563864282180118
"Firearms","Ilocos Norte","2016-28",11,1.23661726598936,0.67763852016345,2.25669323251302,1,0.191342359917683,-0.426085347451737,0.56754627935963
"Firearms","Ilocos Norte","2016-29",12,1.21724127481886,0.670924053493306,2.20841138934874,1,0.178470184435035,-0.439656946575478,0.556729871491836
"Firearms","Ilocos Norte","2016-30",13,1.19012890794327,0.665804867092169,2.12736026353826,3,0.479264657822268,-1.32229467539582,1.61118238371361
"Firearms","Ilocos Norte","2016-31",14,1.15581228975701,0.660900691202871,2.02133553033805,1,0.134807607721291,-0.465240750847757,0.511094129314201
"Firearms","Ilocos Norte","2016-32",15,1.11495305425539,0.654170593912539,1.90029989846905,2,0.206202501202464,-0.987090401060892,0.973201463695819
"Firearms","Ilocos Norte","2016-33",16,1.06832114620277,0.6426329313509,1.77599064060539,0,0,0,0
"Firearms","Ilocos Norte","2016-34",17,1.01677073539139,0.622288315531526,1.66132434523589,0,0,0,0
"Firearms","Ilocos Norte","2016-35",18,0.964774108239704,0.591410034684135,1.57384728926157,2,-0.0730241233869098,-1.35322044222876,0.813880745424635
"Firearms","Ilocos Norte","2016-36",19,0.918890161045985,0.55598688980055,1.51866733471002,2,-0.176538703737315,-1.58126453720543,0.746773678761889
"Firearms","Ilocos Norte","2016-37",20,0.878620110639463,0.520576517909083,1.48291994022466,0,0,0,0
"Firearms","Ilocos Norte","2016-38",21,0.843409045163343,0.488128012579708,1.45727923645273,1,-0.185664305753716,-1.05739140026878,0.325386623520966
"Firearms","Ilocos Norte","2016-39",22,0.812783625429026,0.460166594590025,1.43560447353662,0,0,0,0
"Firearms","Ilocos Norte","2016-40",23,0.786341530498143,0.437268974458619,1.41407929376128,0,0,0,0
"Firearms","Ilocos Norte","2016-41",24,0.763742674808101,0.41948575713094,1.39051889940797,0,0,0,0
"Firearms","Ilocos Norte","2016-42",25,0.744701929077181,0.406611696951931,1.36390804132926,1,-0.342819134682757,-1.46949442278386,0.294112893693675
"Firearms","Ilocos Norte","2016-43",26,0.728983127141849,0.398326056067362,1.33412412159058,0,0,0,0
"Firearms","Ilocos Norte","2016-44",27,0.716394182421727,0.394241473627424,1.30179257876027,1,-0.395879565380558,-1.53774084218976,0.251617219526898
"Firearms","Ilocos Norte","2016-45",28,0.706783172583426,0.393885584610909,1.26824253682844,2,-0.829722151829992,-3.1059739912106,0.471602455144909
"Firearms","Ilocos Norte","2016-46",29,0.700035280581993,0.396624000693696,1.23555153798664,1,-0.428499431012425,-1.5801430457544,0.215523094880179
"Firearms","Ilocos Norte","2016-47",30,0.696070505756743,0.40152696949573,1.20667896752474,3,-1.30990822795818,-4.62168430988637,0.586820200908282
"Firearms","Ilocos Norte","2016-48",31,0.69484208102079,0.407198701347287,1.18567548462178,1,-0.439175932653508,-1.48189104657928,0.163362898961308
"Firearms","Ilocos Norte","2016-49",32,0.696335552245361,0.411651400880621,1.17789761017106,2,-0.872178497207162,-2.93427744883819,0.282104117040732
"Firearms","Ilocos Norte","2016-50",33,0.700568494434273,0.412415224914278,1.1900535813049,1,-0.427412177316831,-1.41781239507329,0.148845234875379
"Firearms","Ilocos Norte","2016-51",34,0.707062288431096,0.4074163878903,1.22709123781253,0,0,0,0
"Firearms","Ilocos Norte","2016-52",35,0.714142757932889,0.398350250123549,1.28028005141158,2,-0.80056050108114,-2.91977754994757,0.404913814278645
"Firearms","Ilocos Norte","2017-01",36,0.721691439302907,0.388249453420077,1.34150487264065,0,0,0,0
"Firearms","Ilocos Norte","2017-02",37,0.729721641659197,0.379109681507262,1.40459001782468,0,0,0,0
"Firearms","Ilocos Norte","2017-03",38,0.738247618575043,0.372097901915176,1.46469395158257,0,0,0,0
"Firearms","Ilocos Norte","2017-04",39,0.747284610173595,0.367864325655494,1.51804415284693,1,-0.338178234083663,-1.64732324151672,0.336832036216032
"Firearms","Ilocos Norte","2017-05",40,0.756848888435904,0.366774380461159,1.56177822236776,0,0,0,0
"Firearms","Ilocos Norte","2017-06",41,0.766957805910584,0.369050355467848,1.59388621994817,0,0,0,0
"Firearms","Ilocos Norte","2017-07",42,0.77762984802876,0.374845750738691,1.61321871557451,0,0,0,0
"Firearms","Ilocos Norte","2017-08",43,0.788884689244538,0.38427063673159,1.61953319727406,1,-0.267612381928255,-1.50082726507531,0.39306837803285
"Firearms","Ilocos Norte","2017-09",44,0.80074325323892,0.397373852471291,1.61356806347487,2,-0.497679489537022,-2.85229977658883,0.76676603378725
"Firearms","Ilocos Norte","2017-10",45,0.81322777744416,0.414074228272516,1.59715184585581,0,0,0,0
"Firearms","Ilocos Norte","2017-11",46,0.826361882165962,0.434018517953189,1.57337517191034,0,0,0,0
"Firearms","Ilocos Norte","2017-12",47,0.840170644602882,0.456332152569924,1.54687042777302,0,0,0,0
"Firearms","Ilocos Norte","2017-13",48,0.854680678085933,0.479242445520747,1.52423698760591,0,0,0,0
"Firearms","Ilocos Norte","2017-14",49,0.869920216886795,0.499660641948418,1.51455031718606,1,-0.149530704756724,-1.04480495886629,0.357013539908792
"Firearms","Ilocos Norte","2017-15",50,0.885016220318246,0.512652592953538,1.5278450182293,2,-0.259845587102136,-2.02544992397813,0.734538393796249
"Firearms","Ilocos Norte","2017-16",51,0.894462181831567,0.51347190950189,1.55814286998292,2,-0.235980503842713,-2.07578600053846,0.754791387276437
"Firearms","Ilocos Norte","2017-17",52,0.897157713155716,0.504886061192699,1.59420515665136,2,-0.229262448143126,-2.06927969911634,0.758658737441924
"Firearms","Ilocos Norte","2017-18",53,0.89304155231873,0.490406690623753,1.62624864100747,1,-0.119768724538694,-1.07332437851026,0.376820355663564
"Firearms","Ilocos Norte","2017-19",54,0.88220719887527,0.472737786022719,1.64634510876595,0,0,0,0
"Firearms","Ilocos Norte","2017-20",55,0.864899383068204,0.453675299260608,1.6488685719741,0,0,0,0
"Firearms","Ilocos Norte","2017-21",56,0.84150487568588,0.434284389205057,1.63056852469258,0,0,0,0
"Firearms","Ilocos Norte","2017-22",57,0.812538120549314,0.41510753357474,1.59047510330703,4,-0.922845954963702,-5.61723575817847,1.34264843076013
"Firearms","Ilocos Norte","2017-23",58,0.778622434886663,0.39632239772281,1.52969627654719,1,-0.284319530486635,-1.47632949044983,0.308119435188357
"Firearms","Ilocos Norte","2017-24",59,0.740467736602527,0.377841576755343,1.45111735362119,0,0,0,0
"Firearms","Ilocos Norte","2017-25",60,0.698845908485298,0.359367416181064,1.35901470699996,0,0,0,0
"Firearms","Ilocos Norte","2017-26",61,0.65456498957351,0.340419731023907,1.25860896572203,0,0,0,0
"Firearms","Ilocos Norte","2017-27",62,0.608443390584887,0.320359247918623,1.15558817780865,1,-0.643538274018749,-2.16000471783526,0.116615423554665
"Firearms","Ilocos Norte","2017-28",63,0.56128526637433,0.298441666799619,1.05562052922197,0,0,0,0
"Firearms","Ilocos Norte","2017-29",64,0.513858051735707,0.273952526885557,0.963853483431902,1,-0.946062724174908,-2.64086754022073,-0.0596390354805516
"Firearms","Ilocos Norte","2017-30",65,0.466872989536943,0.246463626477755,0.884391711159194,0,0,0,0
"Firearms","Ilocos Norte","2017-31",66,0.421462875896764,0.216514436703227,0.820411601479705,0,0,0,0
"Firearms","Ilocos Norte","2017-32",67,0.383831888012844,0.189565531123335,0.777181998132618,0,0,0,0
"Firearms","Ilocos Norte","2017-33",68,0.354306946135303,0.167629937367735,0.748872272166623,0,0,0,0
"Firearms","Ilocos Norte","2017-34",69,0.33149361644314,0.150541596274887,0.729951192638462,0,0,0,0
"Firearms","Ilocos Norte","2017-35",70,0.314360203367928,0.137799130406344,0.71714775826318,0,0,0,0
"Firearms","Ilocos Norte","2017-36",71,0.302159908962006,0.128861307117697,0.708518426718558,0,0,0,0
"Firearms","Ilocos Norte","2017-37",72,0.294376413196083,0.123282248574576,0.702919306292255,2,-4.79402258586462,-14.046548395839,-1.09658771280097
"Firearms","Ilocos Norte","2017-38",73,0.290687305493988,0.120761535955918,0.699718738309195,0,0,0,0
"Firearms","Ilocos Norte","2017-39",74,0.290941726464134,0.121158045217711,0.698650164302562,2,-4.87422881656183,-14.204327043883,-1.10915972476594
"Firearms","Ilocos Norte","2017-40",75,0.295150039376437,0.124491779018272,0.699753400834017,0,0,0,0
"Firearms","Ilocos Norte","2017-41",76,0.303484536887535,0.130942494558597,0.703384065198371,0,0,0,0
"Firearms","Ilocos Norte","2017-42",77,0.31629125079387,0.140843147573163,0.710294799942493,1,-2.16164293982229,-6.10294523210321,-0.507759227993215
"Firearms","Ilocos Norte","2017-43",78,0.334114003264765,0.154654307911277,0.72181737893554,0,0,0,0
"Firearms","Ilocos Norte","2017-44",79,0.357733050426089,0.172887098896586,0.740211017385994,0,0,0,0
"Firearms","Ilocos Norte","2017-45",80,0.388222178348396,0.195914679321341,0.769296411497414,0,0,0,0
"Firearms","Ilocos Norte","2017-46",81,0.427030118454731,0.223595781903798,0.815555286932559,1,-1.34175519895093,-3.53791634510354,-0.285932712092011
"Firearms","Ilocos Norte","2017-47",82,0.475910810573851,0.254616112821569,0.889539538999173,1,-1.10123405012423,-3.01561212758507,-0.165943829750253
"Firearms","Ilocos Norte","2017-48",83,0.527902829446996,0.282118971931269,0.987815159790239,2,-1.78857601899027,-5.36282461559799,-0.05876396583338
"Firearms","Ilocos Norte","2017-49",84,0.577223514227249,0.302959736951051,1.09977315378607,0,0,0,0
"Firearms","Ilocos Norte","2017-50",85,0.622150772302072,0.317893395963911,1.21761442165979,0,0,0,0
"Firearms","Ilocos Norte","2017-51",86,0.661011293906643,0.328048508880848,1.33192475759991,2,-1.02566691134701,-4.3054612927225,0.464613176821199
"Firearms","Ilocos Norte","2017-52",87,0.692283084910971,0.334452945218819,1.43295455012451,0,0,0,0
"Firearms","Ilocos Norte","2018-01",88,0.714694049124737,0.337873074991181,1.51177356724162,0,0,0,0
"Firearms","Ilocos Norte","2018-02",89,0.727307752622727,0.338803422739733,1.56130821450254,1,-0.374933783386639,-2.02030046068072,0.363787791486328
"Firearms","Ilocos Norte","2018-03",90,0.729588320468805,0.337498688130805,1.57718870053263,2,-0.741271952811521,-4.23222602777898,0.739329085887727
"Firearms","Ilocos Norte","2018-04",91,0.721438199973128,0.33400371279302,1.5582853017655,0,0,0,0
"Firearms","Ilocos Norte","2018-05",92,0.703205082430614,0.328169413844667,1.50683569855876,0,0,0,0
"Firearms","Ilocos Norte","2018-06",93,0.675657299025719,0.3196568587692,1.42813386668591,0,0,0,0
"Firearms","Ilocos Norte","2018-07",94,0.639930116898934,0.307942012614117,1.3298300905354,0,0,0,0
"Firearms","Ilocos Norte","2018-08",95,0.597448165580447,0.292349911245654,1.22094892738144,1,-0.673785371871477,-2.51096336511565,0.193209653329512
"Firearms","Ilocos Norte","2018-09",96,0.549831376415228,0.272172457244455,1.11074627297477,0,0,0,0
"Firearms","Ilocos Norte","2018-10",97,0.498793071347599,0.246940287178344,1.00750886324469,0,0,0,0
"Firearms","Ilocos Norte","2018-11",98,0.446039078630228,0.216858800657159,0.917421193248375,1,-1.24195602562665,-3.88792469974206,-0.141700766828947
"Firearms","Ilocos Norte","2018-12",99,0.399080910492171,0.187004421468586,0.85166741977817,0,0,0,0
"Firearms","Ilocos Norte","2018-13",100,0.362625621704179,0.162372152079806,0.809851565259238,1,-1.75766504115304,-5.20242452231049,-0.344648218694828
"Firearms","Ilocos Norte","2018-14",101,0.334630487463806,0.143025689833165,0.782919231299513,1,-1.98837086715884,-6.00446258073452,-0.388639692272602
"Firearms","Ilocos Norte","2018-15",102,0.313604303253542,0.128461625510666,0.765580060412472,0,0,0,0
"Firearms","Ilocos Norte","2018-16",103,0.298475032677783,0.118039643630963,0.75472394181843,0,0,0,0
"Firearms","Ilocos Norte","2018-17",104,0.288498454587742,0.111194934202693,0.748517537208987,0,0,0,0
"Firearms","Ilocos Norte","2018-18",105,0.283196878073337,0.10752034679744,0.745909719781469,1,-2.53111237243596,-8.17117456110593,-0.454828184031213
"Firearms","Ilocos Norte","2018-19",106,0.282320828246131,0.106790129953498,0.746370943609574,0,0,0,0
"Firearms","Ilocos Norte","2018-20",107,0.28582937858715,0.108964507961562,0.749771051068628,1,-2.49859068001681,-7.91618774794791,-0.430555569453078
"Firearms","Ilocos Norte","2018-21",108,0.29388694779119,0.114192347353475,0.756351367527902,0,0,0,0
"Firearms","Ilocos Norte","2018-22",109,0.306876208302572,0.122815984049427,0.766781359535935,0,0,0,0
"Firearms","Ilocos Norte","2018-23",110,0.325428532778138,0.135371239185741,0.782320754269099,0,0,0,0
"Firearms","Ilocos Norte","2018-24",111,0.350475387419781,0.152559555856445,0.805147842083579,0,0,0,0
"Firearms","Ilocos Norte","2018-25",112,0.383326557111886,0.175140676132333,0.838978429409669,1,-1.60874176716151,-4.56870173370953,-0.241086728742542
"Firearms","Ilocos Norte","2018-26",113,0.425784433897864,0.203653808108288,0.890198842013927,0,0,0,0
"Firearms","Ilocos Norte","2018-27",114,0.480308353038522,0.237868998475889,0.969845231941655,0,0,0,0
"Firearms","Ilocos Norte","2018-28",115,0.542945300691995,0.272617393314354,1.08133085699195,0,0,0,0
"Firearms","Ilocos Norte","2018-29",116,0.600092787040092,0.299501601654653,1.2023687054361,0,0,0,0
"Firearms","Ilocos Norte","2018-30",117,0.64814916752447,0.317972603960541,1.3211746487908,1,-0.542854716329241,-2.1182218268496,0.252091594766728
"Firearms","Ilocos Norte","2018-31",118,0.684109720249798,0.32861530880697,1.42417622307172,0,0,0,0
"Firearms","Ilocos Norte","2018-32",119,0.70561984676121,0.332329304672162,1.49821084431445,3,-1.2515810939417,-5.99525330064961,1.0663779201256
"Firearms","Ilocos Norte","2018-33",120,0.711229966614391,0.329969768839568,1.53301336419171,2,-0.81202999575571,-4.08102164059957,0.732480984482659
"Firearms","Ilocos Norte","2018-34",121,0.700557099461248,0.32222323546878,1.5231063299689,1,-0.427435395014958,-2.12797376249461,0.363174738866498
"Firearms","Ilocos Norte","2018-35",122,0.674328108737716,0.309593885410989,1.46875768437785,1,-0.482957609274087,-2.30742372299505,0.329827822448772
"Firearms","Ilocos Norte","2018-36",123,0.634297822649512,0.292432146537335,1.37581908344179,0,0,0,0
"Firearms","Ilocos Norte","2018-37",124,0.583054847936033,0.270986513052726,1.2545013841171,0,0,0,0
"Firearms","Ilocos Norte","2018-38",125,0.523744932082614,0.245490136470844,1.11739216013186,0,0,0,0
"Firearms","Ilocos Norte","2018-39",126,0.45975291263504,0.216310398597709,0.977173275287199,0,0,0,0
"Firearms","Ilocos Norte","2018-40",127,0.394387714328756,0.184177803249533,0.844519081393997,1,-1.53557594130941,-4.81971963066855,-0.230981261845816
"Firearms","Ilocos Norte","2018-41",128,0.330610390691029,0.150431174561733,0.726599594474482,0,0,0,0
"Firearms","Ilocos Norte","2018-42",129,0.270834417041115,0.117074028178171,0.626537606977781,0,0,0,0
"Firearms","Ilocos Norte","2018-43",130,0.216813060220592,0.086415759103544,0.543973733146206,0,0,0,0
"Firearms","Ilocos Norte","2018-44",131,0.171618486668238,0.0614379221774057,0.479392920894186,0,0,0,0
"Firearms","Ilocos Norte","2018-45",132,0.139548081096893,0.0447548683350922,0.435118405265325,0,0,0,0
"Firearms","Ilocos Norte","2018-46",133,0.116907007634749,0.0338453671883686,0.403814452892334,0,0,0,0
"Firearms","Ilocos Norte","2018-47",134,0.100905327058847,0.0267089301860328,0.381216505413515,0,0,0,0
"Firearms","Ilocos Norte","2018-48",135,0.0897314155398052,0.022060070714012,0.364990984805092,0,0,0,0
"Firearms","Ilocos Norte","2018-49",136,0.0822113572224231,0.0191031379394382,0.353800892700439,2,-22.3275390112949,-102.081501409918,-3.78632943787993
"Firearms","Ilocos Norte","2018-50",137,0.0776025498795571,0.0173611083781804,0.346876225677954,0,0,0,0
"Firearms","Ilocos Norte","2018-51",138,0.0754704674232492,0.016566708888875,0.343809473039549,0,0,0,0
"Firearms","Ilocos Norte","2018-52",139,0.0756197021589186,0.0166007836808451,0.344462012429069,0,0,0,0
"Firearms","Ilocos Norte","2019-01",140,0.0780638128748795,0.0174644416693297,0.348935224838373,0,0,0,0
"Firearms","Ilocos Norte","2019-02",141,0.0830273987185611,0.0192776741370108,0.357592357302905,0,0,0,0
"Firearms","Ilocos Norte","2019-03",142,0.0909808474614002,0.0223030148483663,0.371138819620206,0,0,0,0
"Firearms","Ilocos Norte","2019-04",143,0.102715361442136,0.0269974450054421,0.390794220492414,0,0,0,0
"Firearms","Ilocos Norte","2019-05",144,0.119475180173629,0.0340972064893599,0.418636015885213,0,0,0,0
