"type","prov","age","cause","kill","lci","uci"
"uncons","Ilocos Norte","all","Firearms",0,0,0
"uncons","Ilocos Norte","u18","Firearms",0,0,0
"cons","Ilocos Norte","all","Firearms",0,0,0
"cons","Ilocos Norte","u18","Firearms",0,0,0
"uncons","Ilocos Sur","all","Firearms",28.9563926152133,17.0526339823448,38.1847531585201
"cons","Ilocos Sur","all","Firearms",28.9563926152133,17.0526339823448,38.1847531585201
"uncons","La Union","all","Firearms",29.0937128506288,21.1738716928649,34.6560918077254
"cons","La Union","all","Firearms",29.0937128506288,21.1738716928649,34.6560918077254
"uncons","Pangasinan","all","Firearms",191.740148649059,173.088093284613,205.981251818225
"cons","Pangasinan","all","Firearms",191.740148649059,173.088093284613,205.981251818225
"uncons","Cagayan","all","Firearms",40.6747245150559,17.1562794369071,57.1607831133876
"cons","Cagayan","all","Firearms",40.6747245150559,17.1562794369071,57.1607831133876
"uncons","Isabela","all","Firearms",89.821389352936,65.9637345129259,109.394700775234
"cons","Isabela","all","Firearms",89.821389352936,65.9637345129259,109.394700775234
"uncons","Bataan","all","Firearms",9.7480139118925,4.41700802226925,13.2830883990614
"cons","Bataan","all","Firearms",9.7480139118925,4.41700802226925,13.2830883990614
"uncons","Bulacan","all","Firearms",711.958651157184,544.601432590922,840.706372904667
"cons","Bulacan","all","Firearms",711.958651157184,544.601432590922,840.706372904667
"uncons","Nueva Ecija","all","Firearms",307.157017680447,229.53546951402,368.210130248172
"cons","Nueva Ecija","all","Firearms",307.157017680447,229.53546951402,368.210130248172
"uncons","Pampanga","all","Firearms",105.315828281362,66.1946894395676,132.495852902747
"cons","Pampanga","all","Firearms",105.315828281362,66.1946894395676,132.495852902747
"uncons","Tarlac","all","Firearms",101.953879574484,58.339502119467,127.386832328091
"cons","Tarlac","all","Firearms",101.953879574484,58.339502119467,127.386832328091
"uncons","Zambales","all","Firearms",33.5004443740394,23.7722398925989,39.6480480778004
"cons","Zambales","all","Firearms",33.5004443740394,23.7722398925989,39.6480480778004
"uncons","Batangas","all","Firearms",72.4895831238794,38.6983637859109,99.4923968052929
"cons","Batangas","all","Firearms",72.4895831238794,38.6983637859109,99.4923968052929
"uncons","Cavite","all","Firearms",74.5350864075617,49.5163962136553,96.57417836067
"cons","Cavite","all","Firearms",74.5350864075617,49.5163962136553,96.57417836067
"uncons","Laguna","all","Firearms",134.185331279508,71.352157081605,187.474574463334
"cons","Laguna","all","Firearms",134.185331279508,71.352157081605,187.474574463334
"uncons","Quezon","all","Firearms",54.6564903422368,36.1641522913901,68.5938582680109
"cons","Quezon","all","Firearms",54.6564903422368,36.1641522913901,68.5938582680109
"uncons","Rizal","all","Firearms",270.50886207771,201.290344747775,328.007362208448
"cons","Rizal","all","Firearms",270.50886207771,201.290344747775,328.007362208448
"uncons","Albay","all","Firearms",68.65264128945,36.4725964951355,91.2712171797495
"cons","Albay","all","Firearms",68.65264128945,36.4725964951355,91.2712171797495
"uncons","Camarines Sur","all","Firearms",29.7113050908193,15.0747761806895,39.5871206056375
"cons","Camarines Sur","all","Firearms",29.7113050908193,15.0747761806895,39.5871206056375
"uncons","Masbate","all","Firearms",8.56421882418825,2.92683224216403,12.6975062584467
"cons","Masbate","all","Firearms",8.56421882418825,2.92683224216403,12.6975062584467
"uncons","Sorsogon","all","Firearms",0,0,0
"uncons","Sorsogon","u18","Firearms",0,0,0
"cons","Sorsogon","all","Firearms",0,0,0
"cons","Sorsogon","u18","Firearms",0,0,0
"uncons","Antique","all","Firearms",0,0,0
"uncons","Antique","u18","Firearms",0,0,0
"cons","Antique","all","Firearms",0,0,0
"cons","Antique","u18","Firearms",0,0,0
"uncons","Capiz","all","Firearms",0,0,0
"uncons","Capiz","u18","Firearms",0,0,0
"cons","Capiz","all","Firearms",0,0,0
"cons","Capiz","u18","Firearms",0,0,0
"uncons","Iloilo","all","Firearms",0,0,0
"uncons","Iloilo","u18","Firearms",0,0,0
"cons","Iloilo","all","Firearms",0,0,0
"cons","Iloilo","u18","Firearms",0,0,0
"uncons","Negros Occidental","all","Firearms",0,0,0
"uncons","Negros Occidental","u18","Firearms",0,0,0
"cons","Negros Occidental","all","Firearms",0,0,0
"cons","Negros Occidental","u18","Firearms",0,0,0
"uncons","Bohol","all","Firearms",34.7347729579593,27.2605287324036,40.5747952592256
"cons","Bohol","all","Firearms",34.7347729579593,27.2605287324036,40.5747952592256
"uncons","Cebu","all","Firearms",339.363024898227,240.969036926206,422.304733956878
"cons","Cebu","all","Firearms",339.363024898227,240.969036926206,422.304733956878
"uncons","Negros Oriental","all","Firearms",92.1811393067618,44.3634959907956,124.562655938739
"cons","Negros Oriental","all","Firearms",92.1811393067618,44.3634959907956,124.562655938739
"uncons","Leyte","all","Firearms",29.1483603059274,12.9971646059904,41.2752588436352
"cons","Leyte","all","Firearms",29.1483603059274,12.9971646059904,41.2752588436352
"uncons","Northern Samar","all","Firearms",0,0,0
"uncons","Northern Samar","u18","Firearms",0,0,0
"cons","Northern Samar","all","Firearms",0,0,0
"cons","Northern Samar","u18","Firearms",0,0,0
"uncons","Samar","all","Firearms",12.4171768720785,5.06075463371465,17.4459244094029
"cons","Samar","all","Firearms",12.4171768720785,5.06075463371465,17.4459244094029
"uncons","Zamboanga del Norte","all","Firearms",30.9158408582172,20.073797725288,38.7643163456132
"cons","Zamboanga del Norte","all","Firearms",30.9158408582172,20.073797725288,38.7643163456132
"uncons","Zamboanga del Sur","all","Firearms",0,0,0
"uncons","Zamboanga del Sur","u18","Firearms",0,0,0
"cons","Zamboanga del Sur","all","Firearms",0,0,0
"cons","Zamboanga del Sur","u18","Firearms",0,0,0
"uncons","Zamboanga Sibugay","all","Firearms",0,0,0
"uncons","Zamboanga Sibugay","u18","Firearms",0,0,0
"cons","Zamboanga Sibugay","all","Firearms",0,0,0
"cons","Zamboanga Sibugay","u18","Firearms",0,0,0
"uncons","Bukidnon","all","Firearms",0,0,0
"uncons","Bukidnon","u18","Firearms",0,0,0
"cons","Bukidnon","all","Firearms",0,0,0
"cons","Bukidnon","u18","Firearms",0,0,0
"uncons","Lanao del Norte","all","Firearms",43.9593891239158,29.1046484982978,54.9209597823773
"cons","Lanao del Norte","all","Firearms",43.9593891239158,29.1046484982978,54.9209597823773
"uncons","Misamis Occidental","all","Firearms",19.2466379307425,8.57452506872531,27.1175944442897
"cons","Misamis Occidental","all","Firearms",19.2466379307425,8.57452506872531,27.1175944442897
"uncons","Misamis Oriental","all","Firearms",20.40395831589,5.81029763049291,29.7396762987732
"cons","Misamis Oriental","all","Firearms",20.40395831589,5.81029763049291,29.7396762987732
"uncons","Davao del Norte","all","Firearms",166.921689720104,119.153837681702,205.551959534294
"cons","Davao del Norte","all","Firearms",166.921689720104,119.153837681702,205.551959534294
"uncons","Davao del Sur","all","Firearms",30.5554678098722,14.0907024747686,42.5874156182641
"cons","Davao del Sur","all","Firearms",30.5554678098722,14.0907024747686,42.5874156182641
"uncons","Davao Oriental","all","Firearms",54.6086115991421,31.8812739150993,72.9836653054072
"cons","Davao Oriental","all","Firearms",54.6086115991421,31.8812739150993,72.9836653054072
"uncons","Compostela Valley","all","Firearms",105.771054006075,76.1028524086828,128.02035522867
"cons","Compostela Valley","all","Firearms",105.771054006075,76.1028524086828,128.02035522867
"uncons","Cotabato","all","Firearms",118.002092142362,45.2501502278816,173.846731281867
"cons","Cotabato","all","Firearms",118.002092142362,45.2501502278816,173.846731281867
"uncons","South Cotabato","all","Firearms",37.0179012972249,5.9878622228076,60.7253083357358
"cons","South Cotabato","all","Firearms",37.0179012972249,5.9878622228076,60.7253083357358
"uncons","Sultan Kudarat","all","Firearms",68.4288129605026,30.5887347875748,97.0348435873706
"cons","Sultan Kudarat","all","Firearms",68.4288129605026,30.5887347875748,97.0348435873706
"uncons","National Capital Region","all","Firearms",2581.12841608018,2394.97454884516,2752.18245862557
"cons","National Capital Region","all","Firearms",2581.12841608018,2394.97454884516,2752.18245862557
"uncons","National Capital Region","u18","Firearms",27.2866914124069,11.9163718856294,38.0044914585811
"cons","National Capital Region","u18","Firearms",27.2866914124069,11.9163718856294,38.0044914585811
"uncons","Abra","all","Firearms",0,0,0
"uncons","Abra","u18","Firearms",0,0,0
"cons","Abra","all","Firearms",0,0,0
"cons","Abra","u18","Firearms",0,0,0
"uncons","Agusan del Norte","all","Firearms",56.6042861598592,40.6133550726289,67.14484896111
"cons","Agusan del Norte","all","Firearms",56.6042861598592,40.6133550726289,67.14484896111
"uncons","Agusan del Sur","all","Firearms",17.4772942283065,4.25267686944183,28.1413261719092
"cons","Agusan del Sur","all","Firearms",17.4772942283065,4.25267686944183,28.1413261719092
"uncons","Surigao del Norte","all","Firearms",25.0766309370845,13.180750667992,32.4670857670909
"cons","Surigao del Norte","all","Firearms",25.0766309370845,13.180750667992,32.4670857670909
"uncons","Surigao del Sur","all","Firearms",0,0,0
"uncons","Surigao del Sur","u18","Firearms",0,0,0
"cons","Surigao del Sur","all","Firearms",0,0,0
"cons","Surigao del Sur","u18","Firearms",0,0,0
"uncons","Oriental Mindoro","all","Firearms",3.91435309214359,0.725098974244299,5.90764286315374
"cons","Oriental Mindoro","all","Firearms",3.91435309214359,0.725098974244299,5.90764286315374
"uncons","Pangasinan","all","Assault",0,0,0
